id	x	y	cluster	weight<Links>	weight<Total link strength>	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
awards	0.4228	0.099	2	1820	247340	382	0.2487	7.33	0.8325	22.251	1.0524
ayyavazhi	-0.6515	0.8977	4	624	8610	9	0.5556	44.444	3.2222	44.444	3.7778
azerbaijan	-0.9679	0.0427	4	1620	355273	540	0.2907	10	2.3204	35	2.5944
aztec	-0.4117	-0.1889	1	990	32637	48	1.7083	39.583	7.3333	89.583	9.0208
babylon 5	0.8876	0.1539	2	669	6862	12	0	0	2.3333	58.333	2.3333
backpacking	0.0536	-0.4701	3	1573	136904	270	0.3667	10.741	1.2111	37.407	1.5741
badminton	0.3067	-0.0593	1	943	15429	67	0.0149	1.493	0.209	8.955	0.2239
bagpipes	-0.4934	0.1	5	498	3623	21	0	0	0.8571	28.571	0.8571
bahamas	-0.1144	-0.5311	1	1569	61946	63	0.4286	12.698	1.4921	36.508	1.8889
bahrain	-0.7732	0.1246	4	1544	125597	129	0.5426	9.302	2.7674	29.457	3.3023
bahá'í faith	-0.8095	0.737	4	1696	302464	287	0.9373	46.69	9.4111	87.108	10.2927
balboa park-related	-0.0139	-0.3428	1	870	8928	20	0.35	10	2.1	55	2.45
balkan military history	-1.2616	-0.2884	6	1872	1967286	1846	0.2302	9.534	3.7822	54.875	4.0043
ballet	0.3031	0.3036	2	1631	264040	545	0.233	9.358	2.2037	35.229	2.4294
baltic cinema	-0.5924	-0.1891	2	290	1483	4	0.25	25	0	0	0.25
baltic states military history	-1.1028	-0.3386	6	1245	237661	250	0.232	6.4	4.304	55.2	4.524
baltimore	0.5469	-0.3919	3	1708	241554	291	0.3299	9.622	2.0756	45.361	2.3883
bangladesh	-0.6136	0.7904	4	1721	632779	979	0.81	18.08	4.1788	43.309	4.9561
bangladesh cricket	0.0312	0.3869	5	393	5792	17	0.0588	5.882	0.6471	23.529	0.7059
bangladesh premier league	0.0857	0.4423	5	315	3690	15	0.0667	6.667	0.6667	13.333	0.7333
bangladeshi universities	-0.5881	0.8129	4	382	2536	18	0	0	0	0	0
banksia	-0.0703	0.8036	1	538	92048	98	6.8878	97.959	3.5918	93.878	10.4796
baptist work group	-0.5703	0.4702	4	1756	317055	332	0.2048	9.036	3.3072	45.783	3.506
barbados	-0.0652	-0.0458	1	1540	61649	67	0.2985	14.925	1.7463	41.791	2.0448
bartending	0.2241	0.5429	1	951	9388	23	0.2609	8.696	1.8696	47.826	2.1304
baseball	0.8303	-0.5109	3	1887	3433324	3892	0.0339	1.413	1.0108	31.012	1.0434
baseball hall of fame	0.8951	-0.5603	3	1294	912701	308	0.0357	2.922	3.3864	70.455	3.4188
basic income	-0.3697	0.3826	4	1103	46340	28	3.8929	57.143	6.7857	67.857	10.5357
basketball	0.7785	-0.4252	3	1685	692313	1441	0.0285	0.902	0.3935	13.463	0.4212
bat	-0.1753	0.8624	1	1206	64520	334	4.8563	67.964	1.3982	43.713	6.1317
batman	1.0821	0.1645	2	1344	162821	164	0.0427	3.049	2.0732	53.659	2.1159
battlestar galactica	0.8699	0.0193	2	676	8732	34	0.0588	5.882	0.0882	8.824	0.1471
bavaria	-0.6497	-0.2263	6	1696	261407	330	0.1	5.152	1.6303	38.182	1.7303
bbc	0.6277	0.118	2	1886	758740	1221	0.0762	4.013	0.9566	27.6	1.0262
beauty pageants	0.3064	0.0543	2	1502	84090	200	0.115	3	1.035	19.5	1.14
beekeeping	-0.1185	0.7514	1	1311	32812	50	8.9	68	3.08	68	11.84
beer	0.022	0.4814	1	1604	100590	357	0.9076	11.204	2.0056	47.619	2.8627
beetle	-0.0541	0.9151	1	999	24479	173	2.6185	50.867	0.7225	30.058	3.2832
