id	weight<pages>	score<doi>	score<pages doi>	score<isbn>	score<pages isbn>	score<references>
amphibian and reptile	1026	5.495126705653021	71.832	1.4044834307992202	39.864	6.8996101364522415
amusement park	675	0.05185185185185185	1.63	0.6044444444444445	23.852	0.6562962962962963
anabaptist	150	0.6333333333333333	12.667	3.48	46.667	4.113333333333333
analytic philosophy	75	2.0	53.333	4.666666666666667	70.667	6.666666666666667
anarchism	406	1.0320197044334976	33.005	4.8817733990147785	65.271	5.913793103448276
anatomy	1070	9.302803738317756	77.944	3.3953271028037384	68.972	12.698130841121495
ancient egypt	553	1.2513562386980108	28.752	6.291139240506329	62.387	7.54249547920434
ancient germanic studies	170	0.7176470588235294	30.588	6.264705882352941	71.176	6.982352941176471
ancient near east	993	0.9818731117824774	29.809	7.486404833836858	69.587	8.468277945619336
ancient philosophy	273	1.7179487179487178	38.095	9.454212454212454	75.092	11.172161172161172
andaman and nicobar islands	18	3.5555555555555554	50.0	8.055555555555555	88.889	11.61111111111111
andhra pradesh	191	0.16230366492146597	9.424	2.5392670157068062	36.649	2.701570680628272
andorra	65	1.0461538461538462	27.692	6.461538461538462	55.385	7.507692307692308
anglicanism	2747	0.3006916636330542	10.448	2.9464870768110667	50.164	3.247178740444121
anglo-saxon kingdoms	462	1.3376623376623376	33.55	6.562770562770563	66.45	7.9004329004329
angola	172	2.011627906976744	33.14	3.854651162790698	42.442	5.866279069767442
anguilla	22	0.4090909090909091	18.182	6.5	45.455	6.909090909090909
animal	853	8.446658851113716	72.567	2.4572098475967175	49.707	10.903868698710435
animal anatomy	293	13.689419795221843	83.618	6.184300341296928	76.792	19.87372013651877
animal rights	566	3.556537102473498	31.272	2.8180212014134276	46.466	6.374558303886926
animated films	534	0.05056179775280899	3.184	2.0	43.446	2.050561797752809
animated television	671	0.038748137108792845	2.981	1.0864381520119224	39.642	1.1251862891207154
animation	2369	0.07344871253693541	3.799	1.7142254115660616	47.446	1.787674124102997
animation people	164	0.07926829268292683	3.659	3.1158536585365852	65.244	3.1951219512195124
anime and manga	2195	0.08200455580865604	3.918	1.9749430523917995	35.08	2.0569476082004554
anomalous tropical cyclone	18	2.4444444444444446	44.444	0.0	0.0	2.4444444444444446
ant task force	138	11.702898550724637	89.855	2.3115942028985508	47.101	14.014492753623188
antarctic chilean territory	10	4.4	70.0	4.3	70.0	8.7
antarctica	327	2.837920489296636	41.896	2.1376146788990824	48.93	4.9755351681957185
anthropology	1072	7.723880597014926	60.075	6.08955223880597	66.325	13.813432835820896
anthroponymy	142	0.6619718309859155	11.268	2.0704225352112675	42.958	2.732394366197183
anti-war	248	0.6048387096774194	18.548	4.32258064516129	60.484	4.92741935483871
antigua and barbuda	36	0.1111111111111111	8.333	1.3055555555555556	50.0	1.4166666666666667
appalachia	214	0.8037383177570093	13.551	1.8598130841121496	45.794	2.663551401869159
apple corps and apple records	172	0.01744186046511628	1.744	9.918604651162791	75.581	9.936046511627907
apple inc.	753	0.11420982735723771	4.914	0.7569721115537849	25.365	0.8711819389110226
applied linguistics	498	4.379518072289157	45.382	3.3734939759036147	60.643	7.753012048192771
apps	312	0.41346153846153844	9.615	0.3974358974358974	16.346	0.8108974358974359
aqua teen hunger force	8	0.0	0.0	0.375	12.5	0.375
aquarium fishes	95	4.336842105263158	55.789	1.263157894736842	42.105	5.6
arab world	982	1.0529531568228105	30.041	6.822810590631365	63.136	7.875763747454175
archaeology	2700	1.847037037037037	34.593	3.374814814814815	56.704	5.221851851851852
architecture	10671	0.1561240745946959	6.654	1.7378877331084246	43.51	1.8940118077031205
archives of american art-related	219	0.2922374429223744	18.265	2.8036529680365296	57.078	3.095890410958904
arctic	346	4.086705202312139	39.306	3.199421965317919	59.538	7.286127167630058
argentine	1574	0.5203303684879288	9.466	1.1283354510800507	25.985	1.6486658195679798
argentine antarctica	14	3.142857142857143	50.0	3.9285714285714284	71.429	7.071428571428571
